month,hebrew_posts,hebrew_comments
2019-09,0,0
2019-10,0,2
2019-11,0,3
2019-12,0,0
2020-01,2,2
2020-02,1,17
2020-03,3,7
2020-04,2,2
2020-05,1,11
2020-06,0,7
2020-07,0,4
2020-08,23,54
2020-09,1,11
2020-10,0,7
2020-11,2,3
2020-12,1,15
2021-01,4,32
2021-02,0,9
2021-03,1,9
2021-04,1,13
2021-05,1,19
2021-06,0,12
2021-07,0,14
2021-08,0,13
2021-09,1,8
2021-10,0,6
2021-11,1,16
2021-12,2,15
2022-01,1,10
2022-02,0,2
2022-03,0,1
2022-04,0,1
2022-05,0,14
2022-06,0,0
2022-07,1,3
2022-08,0,0
2022-09,0,2
2022-10,0,9
2022-11,0,0
2022-12,0,4
2023-01,0,0
2023-02,0,0
2023-03,0,7
2023-04,0,22
2023-05,0,23
2023-06,0,1
2023-07,0,1
2023-08,0,2
2023-09,0,0
2023-10,2,15
2023-11,2,38
2023-12,0,13
2024-01,1,25
2024-02,0,30
2024-03,1,21
2024-04,0,67
2024-05,1,23
2024-06,2,41
2024-07,0,35
2024-08,3,41
2024-09,0,54
2024-10,0,90
2024-11,1,33
2024-12,3,45
2025-01,2,25
2025-02,0,6
2025-03,3,29
2025-04,0,16
2025-05,0,18
2025-06,1,8
2025-07,1,12
2025-08,1,9
2025-09,1,1
2025-10,1,5
2025-11,0,57
2025-12,0,17
2026-01,1,0
2026-02,1,1
2026-03,0,4
