month,hezbollah,iran,peace,sectarian,gaza_palestine,identity
2019-09,6,4,9,6,2,46
2019-10,22,9,27,19,9,122
2019-11,16,9,17,35,21,92
2019-12,23,7,11,37,34,119
2020-01,33,41,33,46,48,252
2020-02,18,24,16,54,27,199
2020-03,39,20,54,23,70,137
2020-04,13,6,31,23,17,134
2020-05,19,12,45,62,81,165
2020-06,44,37,52,108,79,304
2020-07,94,29,47,62,34,224
2020-08,114,32,80,71,86,474
2020-09,33,11,50,63,59,231
2020-10,47,22,71,55,44,225
2020-11,18,6,29,18,16,117
2020-12,54,23,65,39,47,181
2021-01,61,30,65,66,90,348
2021-02,17,11,29,33,28,214
2021-03,36,19,49,41,27,185
2021-04,41,18,60,41,31,213
2021-05,57,27,129,97,346,552
2021-06,36,22,52,43,55,186
2021-07,113,58,80,65,96,318
2021-08,120,59,118,71,194,418
2021-09,69,23,50,41,80,237
2021-10,22,12,24,12,38,124
2021-11,8,7,22,33,51,148
2021-12,9,4,12,32,8,125
2022-01,35,16,47,29,77,191
2022-02,33,16,15,20,15,86
2022-03,13,6,18,16,10,80
2022-04,16,9,22,31,29,134
2022-05,43,19,28,42,48,152
2022-06,22,11,32,13,37,93
2022-07,41,29,35,24,40,140
2022-08,11,3,9,10,17,25
2022-09,14,9,18,11,29,67
2022-10,21,5,42,37,20,94
2022-11,4,1,16,10,3,50
2022-12,11,6,4,4,8,31
2023-01,10,12,11,18,27,56
2023-02,2,1,0,4,17,21
2023-03,13,3,11,17,13,103
2023-04,65,51,135,94,217,380
2023-05,45,16,115,36,74,229
2023-06,22,31,41,20,41,97
2023-07,13,9,11,11,15,78
2023-08,14,22,31,64,161,223
2023-09,12,5,8,6,10,36
2023-10,208,114,157,163,546,575
2023-11,303,141,264,241,574,892
2023-12,269,105,240,136,348,625
2024-01,199,90,192,129,280,699
2024-02,112,50,175,112,395,614
2024-03,111,52,54,81,83,329
2024-04,108,100,86,127,140,453
2024-05,96,66,106,139,214,379
2024-06,354,183,291,187,575,1139
2024-07,147,49,124,100,271,603
2024-08,214,149,246,195,317,998
2024-09,805,245,524,458,676,1978
2024-10,777,332,600,359,776,1755
2024-11,405,132,234,216,324,898
2024-12,199,87,280,201,229,770
2025-01,141,46,191,68,133,497
2025-02,84,39,73,117,97,322
2025-03,194,79,251,135,196,638
2025-04,67,24,118,59,76,288
2025-05,35,20,109,51,166,364
2025-06,74,99,112,63,202,348
2025-07,49,29,122,66,199,381
2025-08,68,22,122,51,186,323
2025-09,23,12,75,60,116,233
2025-10,48,8,83,35,171,273
2025-11,36,14,60,57,105,210
2025-12,40,19,92,77,136,317
2026-01,18,15,37,49,96,152
2026-02,18,21,52,33,44,159
2026-03,99,95,142,85,145,365
