month,posts,comments,hebrew_posts,hebrew_comments
2019-09,30,144,0,0
2019-10,55,320,0,2
2019-11,34,326,0,3
2019-12,25,353,0,0
2020-01,70,961,2,2
2020-02,60,629,1,17
2020-03,36,383,3,7
2020-04,31,341,2,2
2020-05,31,387,1,11
2020-06,46,876,0,7
2020-07,53,739,0,4
2020-08,125,1420,23,54
2020-09,70,722,1,11
2020-10,70,790,0,7
2020-11,46,413,2,3
2020-12,68,584,1,15
2021-01,114,1227,4,32
2021-02,84,658,0,9
2021-03,86,676,1,9
2021-04,65,634,1,13
2021-05,133,1937,1,19
2021-06,51,655,0,12
2021-07,116,1150,0,14
2021-08,75,1471,0,13
2021-09,66,936,1,8
2021-10,38,422,0,6
2021-11,36,492,1,16
2021-12,44,399,2,15
2022-01,62,618,1,10
2022-02,35,370,0,2
2022-03,20,220,0,1
2022-04,28,411,0,1
2022-05,27,456,0,14
2022-06,24,274,0,0
2022-07,17,322,1,3
2022-08,10,114,0,0
2022-09,20,256,0,2
2022-10,32,352,0,9
2022-11,18,163,0,0
2022-12,9,124,0,4
2023-01,8,153,0,0
2023-02,6,84,0,0
2023-03,24,400,0,7
2023-04,36,1223,0,22
2023-05,17,819,0,23
2023-06,13,295,0,1
2023-07,12,189,0,1
2023-08,24,723,0,2
2023-09,12,108,0,0
2023-10,129,2361,2,15
2023-11,130,2975,2,38
2023-12,84,2018,0,13
2024-01,151,2762,1,25
2024-02,122,2197,0,30
2024-03,90,1225,1,21
2024-04,95,2035,0,67
2024-05,75,1513,1,23
2024-06,134,3893,2,41
2024-07,79,2080,0,35
2024-08,125,2910,3,41
2024-09,293,6634,0,54
2024-10,197,6509,0,90
2024-11,99,3032,1,33
2024-12,103,2621,3,45
2025-01,51,1494,2,25
2025-02,49,995,0,6
2025-03,77,2172,3,29
2025-04,58,978,0,16
2025-05,61,1107,0,18
2025-06,53,1169,1,8
2025-07,51,1178,1,12
2025-08,71,1283,1,9
2025-09,53,749,1,1
2025-10,47,850,1,5
2025-11,45,736,0,57
2025-12,61,941,0,17
2026-01,35,445,1,0
2026-02,29,470,1,1
2026-03,36,1043,0,4
